úZethQuark Versi¢n 7.0ú									6/01/2024
POL.LOS ANGELES	RE	P	ORTE	INVENTARIO	VALORIZADO	X LINEA MOSTRADOR			18:49:42
LH	995			55	30	54,725.00	29,850.00	24,875.00	
LINF.CD4-CD8	1000			280	210	280,000.00	210,000.00	70,000.00	
LINFOCITOS T Y B	1000			280	210	280,000.00	210,000.00	70,000.00	
LIPASA	1000			40	20	40,000.00	20,000.00	20,000.00	
LIPIDOGRAMA ELECTROFORETICO	1000			70	50	70,000.00	50,000.00	20,000.00	
LIPIDOS TOTALES	1000			28	19	28,000.00	19,000.00	9,000.00	
LIQUIDO BIOLOGICO-CULTIVO	1000			75	50	75,000.00	50,000.00	25,000.00	
LISTERIA MONOCITOGENA,ANTICUERPOS	1000			110		110,000.00		110,000.00	
LITIO	1000			50		50,000.00		50,000.00	
LITIO,TASA TRANSPORTE	1000			140		140,000.00		140,000.00	
LP(A)	1000			120		120,000.00		120,000.00	
MAGNESIO	995			20	6	19,900.00	5,970.00	13,930.00	
MAGNESIO ORINA 24HRS	1000			40		40,000.00		40,000.00	
MALARIA GOTA GRUESA	1000			60		60,000.00		60,000.00	
MARIHUANA(CANNABINOIDES)	996			50	30	49,800.00	29,880.00	19,920.00	
MEDULA OSEA ESTUDIO MEDICO HEMATOLOGO	1000			150		150,000.00		150,000.00	
MEMBRANA BASAL GLOMERULAR,AUTOANTICUERPO	1000			150		150,000.00		150,000.00	
MERCURIO EN SANGRE	1000			150		150,000.00		150,000.00	
MERCURIO ORINA 24HRS	1000			150		150,000.00		150,000.00	
METANEFRINA ORINA 24HS	1000			80		80,000.00		80,000.00	
METANEFRINA PLASMATICA	1000			450		450,000.00		450,000.00	
METANFETAMINA	1000			65		65,000.00		65,000.00	
MICOPLASMA PNEUMONEAAE IGG	1000			60		60,000.00		60,000.00	
MICOPLASMA PNEUMONEAE IGM	1000			60		60,000.00		60,000.00	
MICROALBUMINURIA ORINA SIMPLE	484			63		30,492.00		30,492.00	
MICROALBUMINURIA ORINA24HRS	999			60		59,940.00		59,940.00	
MIELINA,PROTEINA BASICA DE	1000			459		459,000.00		459,000.00	
MIELOCULTIVO	1000			70		70,000.00		70,000.00	
MIOGLOBINA	1000			100		100,000.00		100,000.00	
MOCO FECAL	1000			60		60,000.00		60,000.00	
MONONUCLEOSIS PAUL-BUNNEL	1000			50		50,000.00		50,000.00	
NEISSERIA GONORRHOEAE PCR	1000			280		280,000.00		280,000.00	
NICOTINA	1000			60		60,000.00		60,000.00	
NIQUEL EN ORINA DE 24HRS	1000			350		350,000.00		350,000.00	
NITROGENO UREICO	974			25		24,350.00		24,350.00	
NITROGENO UREICO ORINA 24HRS	1000			40		40,000.00		40,000.00	
NSE(NEURON SPECIFIC ENOLASE)	1000			130		130,000.00		130,000.00	
NTX TELOPEPTIDO	1000			110		110,000.00		110,000.00	
OPIACEOS	1000			85		85,000.00		85,000.00	
ORINA COMPLETA	8552			15		128,280.00		128,280.00	
OSMOLALIDAD ORINA 24HRS	1000			60		60,000.00		60,000.00	
OSMOLALIDAD ORINA SIMPLE	999			60		59,940.00		59,940.00	
OSMOLALIDAD SERICA	1000			60		60,000.00		60,000.00	
OSTEOCALCINA	1000			110		110,000.00		110,000.00	
OXALATOS ORINA 24HRS	1000			50		50,000.00		50,000.00	
PANEL DE ALERGIA(32 ALERGENOS)IGE ESPEC.	945			210	119	198,450.00	112,455.00	85,995.00	
PAP LIQUIDO PLEURAL	999			80		79,920.00		79,920.00	
PAPANICOLAOU	850			50	18	42,500.00	15,300.00	27,200.00	
PAPERAS IGG(PAROTIDITIS IGG)	1000			60		60,000.00		60,000.00	
PAPERAS IGM(PAROTIDITIS IGM)	1000			60		60,000.00		60,000.00	
PAPILOMA VIRUS HUMANO(14 CEPAS)-MUJER	1000			380		380,000.00		380,000.00	
PAPILOMA VIRUSXPCR(35CEPAS)-HOMBRE	999			680		679,320.00		679,320.00	
PAPP-A(PROT.PLASMAT. ASOC. AL EMBARAZO	1000			150		150,000.00		150,000.00	
PARASITOLOGICO SIMPLE	228			12		2,736.00		2,736.00	
PARASITOLOGICO X3	702			29	15	20,358.00	10,530.00	9,828.00	
PARASITOS GRAHAM	1000			20		20,000.00		20,000.00	
PARATOHORMONA C TERMINAL(PTH-C-TERMINAL)	100			140	115	14,000.00	11,500.00	2,500.00	
PARATOHORMONA INTACTA(PTH-INTACTA)	998			70		69,860.00		69,860.00	
PARATOHORMONAS	998			150		149,700.00		149,700.00	
PARVOVIRUS B19 IGG,ANTICUERPOS	1000			160		160,000.00		160,000.00	
PARVOVIRUS B19 IGM,ANTICUERPOS	1000			160		160,000.00		160,000.00	
PCR LATEX	528			15		7,920.00		7,920.00	
PEPTIDO C	1000			110		110,000.00		110,000.00	
PEPTIDO C POST-PRANDIAL	1000			110		110,000.00		110,000.00	
PERFIL CARDIACO	998			210		209,580.00		209,580.00	
PERFIL DE ANEMIA	995			160	77	159,200.00	76,615.00	82,585.00	
PERFIL DE COAGULACION	983			100		98,300.00		98,300.00	
PERFIL HEPATICO	181			55		9,955.00		9,955.00	
PERFIL HORMONAL	996			120	45	119,520.00	44,820.00	74,700.00	
PERFIL LIPIDICO	572			45		25,740.00		25,740.00	
PERFIL PRE-OPERATORIO	981			180		176,580.00		176,580.00	
PERFIL PRENATAL	987			120		118,440.00		118,440.00	
PERFIL RENAL	116			83		9,628.00		9,628.00	
PERFIL REUMATICO	97			105		10,185.00		10,185.00	
PERFIL TIROIDEO	938			100	37	93,800.00	34,706.00	59,094.00	
PLAQUETAS AUTOANTICUERPOS	1000			150		150,000.00		150,000.00	
PLAQUETAS,AGREGACION	1000			200		200,000.00		200,000.00	
PLAQUETAS,RECUENTO DE	1000			20		20,000.00		20,000.00	
PLASMINOGENO CUANTITATIVO	1000			300		300,000.00		300,000.00	
PLOMO SANGRE	999			120		119,880.00		119,880.00	
PNEUMOCISTIS CARINII-EX DIRECTO	1000			70		70,000.00		70,000.00	
PORFOBILINOGENO ORINA 24HRS	1000			80		80,000.00		80,000.00	
PORFOBILINOGENO ORINA SIMPLE(WATSON-SCH)	1000			80		80,000.00		80,000.00	
POTASIO	998			50	30	49,900.00	29,940.00	19,960.00	
POTASIO ORINA 24HRS	1000			40		40,000.00		40,000.00	
POTASIO ORINA SIMPLE	999			40		39,960.00		39,960.00	
PPD-MANTOUX	1000			40		40,000.00		40,000.00	
PREGNOSTICON	1000			60		60,000.00		60,000.00	
PRO-BNP(PEPTIDO NATRIURETRICO)	1000			260		260,000.00		260,000.00	
PROCALCITONINA-PCT	996			120		119,520.00		119,520.00	
PROGESTERONA	999			50	22	49,950.00	21,978.00	27,972.00	
PROLACTINA	968			50	25	48,400.00	24,200.00	24,200.00	
PROLACTINA POOL	1000			60		60,000.00		60,000.00	
PROT. TOT. Y FRAG	994			15		14,910.00		14,910.00	
PROTEINA C,FUNCIONAL	1000			110		110,000.00		110,000.00	
PROTEINA C,RESISTENCIA	1000			480		480,000.00		480,000.00	
PROTEINA S,FUNCIONAL	1000			110		110,000.00		110,000.00	
PROTEINAS BENCES JONES(IEF)ORINA 24HRS	1000			80		80,000.00		80,000.00	
PROTEINAS EN ORINA SIMPLE	999			30		29,970.00		29,970.00	
PROTEINAS TOTALES	998			40		39,920.00		39,920.00	
PROTEINAS TOTALES EN LCR	1000			40		40,000.00		40,000.00	
PROTEINAS TOTALES Y FRACCIONADAS	998			40		39,920.00		39,920.00	
PROTEINOGRAMA	1000			60		60,000.00		60,000.00	
PROTEINOGRAMA LCR	1000			110		110,000.00		110,000.00	
PROTEINOGRAMA ORINA 24HRS	1000			80		80,000.00		80,000.00	
PROTEINURIA 24Hr.	947			30		28,410.00		28,410.00	
PROTROMBINA GEB ANOMALO G20210A	1000			1250		1,250,000.00		1,250,000.00	
PRUEBA DE ADDIS	1000			40		40,000.00		40,000.00	
PRUEBA DE MEZCLA	1000			150		150,000.00		150,000.00	
PSA LIBRE	858			50	25	42,900.00	21,450.00	21,450.00	
PSA PANEL COMPLETO	996			100	40	99,600.00	39,840.00	59,760.00	
PSA TOTAL	804			50	21	40,200.00	16,884.00	23,316.00	
QUINIDINA	1000			210		210,000.00		210,000.00	
RA WAALER ROSE	1000			40		40,000.00		40,000.00	
REACCION INFLAMATORIA EN HECES	381			25		9,525.00		9,525.00	
RECEPTOR DE TRANSFERRINA SOLUBLE	1000			150		150,000.00		150,000.00	
RECUENTO DE PLAQUETAS	1000			15		15,000.00		15,000.00	
REDUCCION DE FACTURA	1000			50		50,000.00		50,000.00	
REDUCCION DE LUXACION	1000			50		50,000.00		50,000.00	
RENINA ACTIVIDAD PLASMA	1000			150	118	150,000.00	118,000.00	32,000.00	
RETICULOCITOS	997			20		19,940.00		19,940.00	
RETIRO DE PUNTOS	992			20		19,840.00		19,840.00	
RETIRO DE YESO	999			20		19,980.00		19,980.00	
RICKETTSIA RICKETTSIA IGG	1000			160		160,000.00		160,000.00	
RICKETTSIA RICKETTSIA IGM	1000			160		160,000.00		160,000.00	
ROTAVIRUS	1000			100	58	100,000.00	58,000.00	42,000.00	
RPR	799			15		11,985.00		11,985.00	
RUBEOLA IGG	1000			60		60,000.00		60,000.00	
RUBEOLA IGM	1000			60		60,000.00		60,000.00	
SALICILATOS	1000			90		90,000.00		90,000.00	
SARAMPION IGG	1000			70		70,000.00		70,000.00	
SARAMPION IGM	1000			70		70,000.00		70,000.00	
SCC CELULAS ESCAMOSAS	1000			350		350,000.00		350,000.00	
SCL70	1000			60		60,000.00		60,000.00	
SEDIMENTO URINARIO	1000			25		25,000.00		25,000.00	
SEROTONINA/5HIDROXITRIPTAMINA	1000			168		168,000.00		168,000.00	
SEX HORMONE BINDING GLOBULIN	1000			100		100,000.00		100,000.00	
SICKLING,TEST	1000			60		60,000.00		60,000.00	
SIFILIS ELISA	999			80		79,920.00		79,920.00	
SODIO	998			20		19,960.00		19,960.00	
SODIO EN ORINA 12 HRS	1000			20		20,000.00		20,000.00	
SODIO ORINA 24HRS	1000			20		20,000.00		20,000.00	
SODIO ORINA SIMPLE	1000			20		20,000.00		20,000.00	
SOMATOMEDINA C (IGF-I)	998			130	88	129,740.00	87,824.00	41,916.00	
SOMATOMEDINA C(IGF-I)POST	1000			130	88.1	130,000.00	88,100.00	41,900.00	
SOMATOMEDINA(IGFBP-3)	1000			150	110	150,000.00	110,000.00	40,000.00	
SUCROSA,TEST DE	1000			60		60,000.00		60,000.00	
SUSTANCIAS REDUCTORAS(BENEDICT)	1000			30		30,000.00		30,000.00	
SUTURA DE HERIDA CORTA	994			25		24,850.00		24,850.00	
SUTURA DE HERIDA LARGA	1000			30		30,000.00		30,000.00	
T.PROTOMBINA	995			45		44,775.00		44,775.00	
T.TROMBOPLASTINA	998			60		59,880.00		59,880.00	
T3	989			45	16	44,505.00	15,824.00	28,681.00	
T3 LIBRE	931			45	17	41,895.00	15,827.00	26,068.00	
T4	932			45	16	41,940.00	14,912.00	27,028.00	
T4 LIBRE	424			45	20	19,080.00	8,480.00	10,600.00	
TALIO ORINA SIMPLE	1000			280		280,000.00		280,000.00	
TBG THYROID BINDING GLOBULIN	1000			100		100,000.00		100,000.00	
TEOFILINA(AMINOFILINA)	1000			95		95,000.00		95,000.00	
TEST GRAHAM(OXIURUS)	525			10		5,250.00		5,250.00	
TESTOSTERONA	986			60	21	59,160.00	20,706.00	38,454.00	
TESTOSTERONA LIBRE	994			100		99,400.00		99,400.00	
TFGE(TASA DE FILTRACION GLOMERULAR EST.)	1000			40		40,000.00		40,000.00	
THEVENON	661			25		16,525.00		16,525.00	
TIEMPO DE COAGULACION	971			25		24,275.00		24,275.00	
TIEMPO DE PROTROMBINA-TP	973			30	12	29,190.00	11,676.00	17,514.00	
TIEMPO DE SANGRIA	979			8		7,832.00		7,832.00	
TIEMPO DE TROMBINA-TT	1000			80	42	80,000.00	42,000.00	38,000.00	
TINTA CHINA(CRYPTOCOCOS)	1000			40		40,000.00		40,000.00	
TIROGLOBULINA	994			60	29	59,640.00	28,826.00	30,814.00	
TM PERIMETRO 3	1000			40		40,000.00		40,000.00	
TM PERIMETRO2	1000			30		30,000.00		30,000.00	
TM PROVINCIAS	1000			230		230,000.00		230,000.00	
TM RECOJO DE MUESTRAS	1000			20		20,000.00		20,000.00	
TOLERANCIA GLUCOSA	925			40		37,000.00		37,000.00	
TOPIRAMATO	1000			400		400,000.00		400,000.00	
TORCH IGG	1000			210	145	210,000.00	145,000.00	65,000.00	
TORCH IGM	992			210	145	208,320.00	143,840.00	64,480.00	
TOXACARA IGM	1000			210		210,000.00		210,000.00	
TOXOCARA IGG	1000			210		210,000.00		210,000.00	
TOXOPLASMA GONDII IGG	999			60		59,940.00		59,940.00	
TOXOPLASMA GONDII IGM	999			70		69,930.00		69,930.00	
TRANSAMINASA OXALACETICA (TGO)	966			15		14,490.00		14,490.00	
TRANSAMINASA PIRUVICA (TGP)	961			15		14,415.00		14,415.00	
TRANSFERRINA(T.I.B.C)	999			45	20	44,955.00	19,980.00	24,975.00	
TRANSGLUTAMINASA,AUTOANTICUERPOS IGA	1000			200		200,000.00		200,000.00	
TRICHINELLA ANTICUERPOS IGG	1000			100		100,000.00		100,000.00	
TRIGLICERIDOS	941			15		14,115.00		14,115.00	
TROMBOPLASTINA PARCIAL-TPTK	999			60		59,940.00		59,940.00	
TROPONINA I	998			140	85	139,720.00	84,830.00	54,890.00	
TROPONINA T.	999			80	30	79,920.00	29,970.00	49,950.00	
TSH ULTRASENSIBLE	446			40	18	17,840.00	8,028.00	9,812.00	
UREA	458			15		6,870.00		6,870.00	
UREA ORINA 24 HRS	1000			40		40,000.00		40,000.00	
UROCULTIVO	164			40	23	6,560.00	3,772.00	2,788.00	
VACUNO HEPATITIS A ADULTO	1000			170		170,000.00		170,000.00	
VARICELA IGG	1000			70		70,000.00		70,000.00	
VARICELA IGM	1000			70		70,000.00		70,000.00	
VELOCIDAD DE SEDIMENTACION	955			15		14,325.00		14,325.00	
VENDAJE ESPECIAL/TRAUMATOLOGIA	999			20		19,980.00		19,980.00	
VESICULAR BILIAR	1000			55		55,000.00		55,000.00	
VIBRIO CHOLERAE-CULTIVO	1000			80		80,000.00		80,000.00	
VISCOSIDAD SERICA	1000			40		40,000.00		40,000.00	
VITAMINA A	1000			350		350,000.00		350,000.00	
VITAMINA B1	1000			350		350,000.00		350,000.00	
VITAMINA B12	961			60	23	57,660.00	22,103.00	35,557.00	
VITAMINA B2(RIBOFLAVINA)	1000			350		350,000.00		350,000.00	
VITAMINA B6	1000			350		350,000.00		350,000.00	
VITAMINA D,25-HIDROXICOLECALCIFEROL	998			190	149	189,620.00	148,702.00	40,918.00	
VLDL COLESTEROL	997			15		14,955.00		14,955.00	
YODO PROTEICO	1000			60		60,000.00		60,000.00	
ZINC SERICO	1000			120	93	120,000.00	93,000.00	27,000.00	
TOPICO									
------									
ABOCAT #20CAJAX50UNID	0	u	40	250	80	200	64	136	
ABOCAT#22 CAJAX50UNID	0	u	2	250	80	10	3.2	6.8	
ABOCAT#24 CAJAX50UNID	0	u	10	250	67.5	50	13.5	36.5	
AGUJA #18 CAJAX100UNID.	1			50	6.01	50	6.01	43.99	
AGUJA #21 CAJAX100	0	u	69	50	8.5	34.5	5.87	28.64	
AGUJA #23 CAJAX100UNID.	0	u	81	50	8.5	40.5	6.89	33.62	
AGUJA #25 CAJAX100UNI.	0	u	99	50	8.5	49.5	8.42	41.09	
ALITAS 23G LONG30CM CJA100UNID.	0	u	94	300	26	282	24.44	257.56	
BISTURI #10 CAJAX100 UNIDADES	0	u	56	200	15	112	8.4	103.6	
BOLSA COLECTORA DE ADULTO	3			10	2.2	30	6.6	23.4	
EQUIPO DE VENOCLISIS 20GOT/ML  CAJAX25UN	0	u	11	100	45	44	19.8	24.2	
GASA ESTERIL  5X5 CAJAX20UNID	1	u	5	50	25	62.5	31.25	31.25	
JERINGA 10ML CAJAX100UNID.	0	u	75	100	19.38	75	14.54	60.47	
JERINGA 1ML CAJAX1OOUNID.	0	u	3	100	15	3	0.45	2.55	
JERINGA 20ML CAJAX50UNID.	0	u	36	50	25	36	18	18	
JERINGA 5ML CAJAX100UNID.	0	u	97	100	21	97	20.37	76.63	
LLAVE TRIPLE VIA CAJAX50UNID.	0	u	6	250	45	30	5.4	24.6	
SONDA FOLEX DE LATEX #14	7			10	4	70	28	42	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						1,276.00	285.12	990.88	
NO CLASIFICADOS									
---------------									
CIRUGIA MEDIANA	998			850	600	848,300.00	598,800.00	249,500.00	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
S U B    T O T A L:						848,300.00	598,800.00	249,500.00	
SIN DEFINIR									
-----------									
A200	999			650		649,350.00		649,350.00	
ACICLAV AMOX+ACIDO CLAVULANICO 875+125	1	u	1	42	33	45	35.36	9.64	
ACIDO FOLICO INTRAERITROCITARIO	997			105	63	104,685.00	62,811.00	41,874.00	
ACIDO URICO 24 HORAS	100			20	15	2,000.00	1,500.00	500	
ACIDO VALPROICO	997			75	65	74,775.00	64,805.00	9,970.00	
ACTUALIZACION DE EXAMEN DE CONCIENCIA	8			50		400		400	
AFTOTEX SOLUCION 30ML	4			35	26	140	104	36	
AGUJA #22 CAJAX100	0	u	95	50	9	47.5	8.55	38.95	
ANEMIA PAQUETE ADULTOS	50			65		3,250.00		3,250.00	
ANTI TIROGLOBULINA	995			70	28.8	69,650.00	28,656.00	40,994.00	
ANTIGENO HISOPADO COVID	10			25	12	250	120	130	
ARTROMEX PLUS 20MG	4			220	100	880	400	480	
ARTROSINTESIS	100			100	70	10,000.00	7,000.00	3,000.00	
ASCORBIC PROMOCION	9			80	38	720	342	378	
ASPIRACION SUCCION DE REFLUJO	2			50	25	100	50	50	
BAGOLIFE CAJAX30 CAPSULAS	0	u	15	114	75	57	37.5	19.5	
BETAMETASONA 4MG/2MG AMPOLLA 1ML	3			14	7	42	21	21	
BIOCLAV 500MG+125MG CAJAX10	3			25	12	75	36	39	
BIOPSIA ESCISIONAL DE PIEL	500			200	120	100,000.00	60,000.00	40,000.00	
BIOPSIA INCISIONAL DE PIEL	500			150	100	75,000.00	50,000.00	25,000.00	
BISMUTOL SUSPENSION 150ML	2			10	9	20	18	2	
BLOQUEO	100			150	100	15,000.00	10,000.00	5,000.00	
CAFAZOLBAC CAJAX1 AMPOLLA	3			15	6	45	18	27	
"CAMPA;A COLOCACION DE IMPLANTE"	10			130		1,300.00		1,300.00	
"CAMPA;A CULTIVO SEC VAGINAL"	9			65		585		585	
"CAMPA;A PAPANICOLAU"	9			45		405		405	
"CAMPA;A RETIRO DE IMPLATE"	9			40		360		360	
"CAMPA;A RETIRO T COBRE"	10			60		600		600	
CANULA BINASAL L ADULTO	6			5	2	30	12	18	
CANULA DE YANKAUER	2			15	7	30	14	16	
CARDIOLOGIA DR KELVIN	1000			80	60	80,000.00	60,000.00	20,000.00	
CAUTERIZACION + DE 10 VERRUGAS	9			200		1,800.00		1,800.00	
CAUTERIZACION + DE 5 VERRUGAS	19			150		2,850.00		2,850.00	
CAUTERIZACION 1 LUNAR	10			40		400		400	
CAUTERIZACION 1 VERRUGA	11			40		440		440	
CAUTERIZACION OBSTETRICIA	9			120		1,080.00		1,080.00	
CAUTERIZACION VERUGA	1			60		60		60	
CAUTERIZACION VPH	9			140		1,260.00		1,260.00	
CAUTERIZACION VPH	4			70		280		280	
CAUTERIZACION VPH GENITALES	2			500		1,000.00		1,000.00	
CELULAS LE	9			55	20	495	180	315	
CERTIFICADO FISICO+RPR+HIV	48			70		3,360.00		3,360.00	
CIRUJIA MENOR	998			120	90	119,760.00	89,820.00	29,940.00	
CIRUJIA MENOR	997			150		149,550.00		149,550.00	
CIRUJIA MENOR	999			90	50	89,910.00	49,950.00	39,960.00	
CIRUJIA MENOR	998			100	50	99,800.00	49,900.00	49,900.00	
CLORURO 250ML	2			9.5	7.6	19	15.2	3.8	
COGNAFLEX POTE 500GR	1			120		120		120	
COLAG HP POTE 450GR VAINILLA	1			135	90	135	90	45	
COLAG POTE 450 SABOR NEUTRO	3			135	90	405	270	135	
COLECCIONES PERITONEALES	100			135		13,500.00		13,500.00	
COLOCACION DE SONDA	84			40	12	3,360.00	1,008.00	2,352.00	
COLOCACION DE YESO	100			200	110	20,000.00	11,000.00	9,000.00	
COLOCACION IMPLANTE SUB DERMICO OBTETRA	10			150		1,500.00		1,500.00	
CONCENTRADOR ALQUILER X DIA	935			80	30	74,800.00	28,050.00	46,750.00	
CONCOR 5MG CAJAX30 TABLETAS	0	u	12	135		54		54	
CONSTANCIA DE ALTA COVID/PACIENTE CLINIC	996			60	30	59,760.00	29,880.00	29,880.00	
CONSTANCIA DE ALTA DE COVID	99			120	82	11,880.00	8,118.00	3,762.00	
CONSULTA +PAP+ECO	999			155	100	154,845.00	99,900.00	54,945.00	
CONSULTA CIRUJIA DR LOZANO	984			50	25	49,200.00	24,600.00	24,600.00	
CONSULTA CIRUJIA DR.AGUIRRE	994			50	30	49,700.00	29,820.00	19,880.00	
CONSULTA CIRUJIA DRA GHANDI	96			50	30	4,800.00	2,880.00	1,920.00	
"CONSULTA DERMOESTETICA CAMPA;A"	982			30	15	29,460.00	14,730.00	14,730.00	
CONSULTA DOMICILIO DR MOLINA	8			100	50	800	400	400	
CONSULTA DR KEVIN	45			45		2,025.00		2,025.00	
CONSULTA DR MARIO	2818			45	15	126,810.00	42,270.00	84,540.00	
CONSULTA ENDOCRINOLOGO	920			80	40	73,600.00	36,800.00	36,800.00	
CONSULTA GINECOLOGIA DR CUBANO	83			50	25	4,150.00	2,075.00	2,075.00	
CONSULTA GINECOLOGIA DR. JOHAYRA	951			60	30	57,060.00	28,530.00	28,530.00	
CONSULTA GINECOLOGIA+ECO TRANSVAGINAL	67			120	100	8,040.00	6,700.00	1,340.00	
CONSULTA GINECOLOGIA+PAP	85			85	40	7,225.00	3,400.00	3,825.00	
CONSULTA MEDICINA INTERNA DRA CUBANA	66			50	30	3,300.00	1,980.00	1,320.00	
CONSULTA OBSTETRICIA	807			35	10	28,245.00	8,070.00	20,175.00	
CONSULTA OFTALMOLOGIA	991			70	35	69,370.00	34,685.00	34,685.00	
CONSULTA TRAUMATOLOGIA Dr CABRERA	969			70	35	67,830.00	33,915.00	33,915.00	
CONSULTA UROLOGO DR CUBANO	91			50	25	4,550.00	2,275.00	2,275.00	
CONTROL	9			6	2	54	18	36	
COVID ANTICUERPO CUANTITATIVO	994			60	25	59,640.00	24,850.00	34,790.00	
COVID ANTICUERPOS TOTALES	494			70	45	34,580.00	22,230.00	12,350.00	
CRIOTERAPIA PARA ACNE	1000			100	50	100,000.00	50,000.00	50,000.00	
CRIOTERAPIA PARA LENTIGO SOLAR	1000			100	50	100,000.00	50,000.00	50,000.00	
CRIOTERAPIA PARA VERRUGA UNICA	1000			89	35	89,000.00	35,000.00	54,000.00	
CULTIVO DE SEMEN	974			50	22	48,700.00	21,428.00	27,272.00	
CULTIVO SEC HERIDA	992			70	35.8	69,440.00	35,513.60	33,926.40	
CULTIVO SECR. URETRAL	99			70	35.8	6,930.00	3,544.20	3,385.80	
CULTIVO SECRECION OTICA	93			50	35.8	4,650.00	3,329.40	1,320.60	
CURACION	964			20		19,280.00		19,280.00	
CURACION HERIDA 25	9			25		225		225	
CURACION MAYOR	500			70		35,000.00		35,000.00	
CURACION MENOR	497			50	25	24,850.00	12,425.00	12,425.00	
CURACION MENOR CIRUJIA	8			50	30	400	240	160	
CURETAJE, MOLUSCO CONTAGIOSO	1000			110	80	110,000.00	80,000.00	30,000.00	
CYFRA 21-1	1000			125	63	125,000.00	63,000.00	62,000.00	
DENGUE ANTIGENO NS1	50			50	25	2,500.00	1,250.00	1,250.00	
DESCANSO MEDICO CIRUJIA GENERAL	500			50	30	25,000.00	15,000.00	10,000.00	
DEXIDE SR 1000 CAJAX30 CAPSULAS	1	u	5	90	72	105	84	21	
DIARREA INFLAMATORIA	1000			45	30	45,000.00	30,000.00	15,000.00	
DOMICILIO	2			30	15	60	30	30	
DOMICILIO ENDOVENOSO ZOLEDRON	9			100	60	900	540	360	
DOPPLER ARTERIAL CADA LADO	100			240		24,000.00		24,000.00	
DOPPLER CAROTIDEO	100			200		20,000.00		20,000.00	
DOPPLER OBSTETRICA	100			200		20,000.00		20,000.00	
DOPPLER TESTICULAR	100			200		20,000.00		20,000.00	
DOPPLER VENOSO MMII CADA LADO	100			240		24,000.00		24,000.00	
DR PIERRE RAMOS MEDICINA GENERAL	380			45		17,100.00		17,100.00	
DRA GIANINA MEDICINA GENERAL	49			45		2,205.00		2,205.00	
DRENAJE DE ABCESO GRANDE MAYOR A 5CM	500			250	150	125,000.00	75,000.00	50,000.00	
DRENAJE DE ABCESO MEDIANO 2-5CM	499			150	100	74,850.00	49,900.00	24,950.00	
"DRENAJE DE ABCESO PEQUE;O MENOR DE 2 CM"	499			100	50	49,900.00	24,950.00	24,950.00	
DRENAJE DE ABCESO PERIANAL	500			300	150	150,000.00	75,000.00	75,000.00	
ECO CADERA ADULTO	100			120		12,000.00		12,000.00	
ECO CADERA NINO	100			120		12,000.00		12,000.00	
ECO CODO	100			100		10,000.00		10,000.00	
ECO CUELLO	100			120		12,000.00		12,000.00	
ECO DE MAMAS	100			120		12,000.00		12,000.00	
ECO GENETICA	100			150		15,000.00		15,000.00	
ECO HOMBRO	100			100		10,000.00		10,000.00	
ECO MORFOLOGICA	100			150		15,000.00		15,000.00	
ECO MUNECA	100			100		10,000.00		10,000.00	
ECO OBSTETRICA	100			100		10,000.00		10,000.00	
ECO REGION INGUINAL	100			100		10,000.00		10,000.00	
ECO RENAL	100			100		10,000.00		10,000.00	
ECO RODILLA	100			100		10,000.00		10,000.00	
ECO TIROIDES	100			120		12,000.00		12,000.00	
ECO TOBILLO	100			100		10,000.00		10,000.00	
ECO VESICO RENAL	100			100		10,000.00		10,000.00	
EKG DE KELVIN	100			70		7,000.00		7,000.00	
EKG+CONSULTA DR KELVIN	1000			140		140,000.00		140,000.00	
ELASTIFLEX ULTRA COMPLEX POTE COLAG	2			220	140	440	280	160	
ELECTROCARDIOGRAMA PROMOCION ABRIL	91			20	9	1,820.00	819	1,001.00	
ELECTROCAUTERIZACION DERMICA MULTIPLE	999			128	95	127,872.00	94,905.00	32,967.00	
ELECTROCAUTERIZACION DERMICA UNICA	1000			75	50	75,000.00	50,000.00	25,000.00	
ELECTROCAUTERIZACION MULTIPLE	500			150	100	75,000.00	50,000.00	25,000.00	
ELECTROCAUTERIZACION UNICA	500			50	25	25,000.00	12,500.00	12,500.00	
ENDOVENOSO  EXTERNO	71			30	12	2,130.00	852	1,278.00	
ENDOVENOSO DOMICILIO	94			40	15	3,760.00	1,410.00	2,350.00	
ENDOVENOSO DOMINGO	993			50	15	49,650.00	14,895.00	34,755.00	
ENDOVENOSO EXTERNO (TIENE VIA)	7			20		140		140	
ENDOVENOSO INSULINA ISOFANA HUMANA	419			20	12	8,380.00	5,028.00	3,352.00	
ENDOVENOSO INTERNO	422			10		4,220.00		4,220.00	
ENDOVIT +MATERIAL APLICACION	2			70		140		140	
EQUIPO MICROGOTERO CON VOLUTROL 100ML	1			6	3.01	6	3.01	2.99	
ESPECULO TALLA M	5			5	2	25	10	15	
ESPIROMETRIA	91			60	25	5,460.00	2,275.00	3,185.00	
"ESTRACC. DE LUNAR PEQUE;O MENOR A 5MM"	500			100	70	50,000.00	35,000.00	15,000.00	
EUTIROX 25MG  X50 UNID	0	u	24	50		24		24	
EUTIROX 88MG CAJAX10 TABLETAS	0	u	7	20	8	14	5.6	8.4	
EXAMEN DE CONCIENCIA/PSICOLOGIA	8			120	90	960	720	240	
